# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-24 15:09:42 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03335500 WABASH RIVER AT LAFAYETTE, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03335500
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd
USGS	03335500	2015-03-17 07:30	EST	22500	P
USGS	03335500	2015-03-17 07:45	EST	22500	P
USGS	03335500	2015-03-17 08:00	EST	22500	P
USGS	03335500	2015-03-17 08:15	EST	22400	P
USGS	03335500	2015-03-17 08:30	EST	22400	P
USGS	03335500	2015-03-17 08:45	EST	22400	P
USGS	03335500	2015-03-17 09:00	EST	22400	P
USGS	03335500	2015-03-17 09:15	EST	22400	P
USGS	03335500	2015-03-17 09:30	EST	22300	P
USGS	03335500	2015-03-17 09:45	EST	22400	P
USGS	03335500	2015-03-17 10:00	EST	22400	P
USGS	03335500	2015-03-17 10:15	EST	22300	P
USGS	03335500	2015-03-17 10:30	EST	22300	P
USGS	03335500	2015-03-17 10:45	EST	22300	P
USGS	03335500	2015-03-17 11:00	EST	22200	P
USGS	03335500	2015-03-17 11:15	EST	22300	P
USGS	03335500	2015-03-17 11:30	EST	22200	P
USGS	03335500	2015-03-17 11:45	EST	22200	P
USGS	03335500	2015-03-17 12:00	EST	22200	P
USGS	03335500	2015-03-17 12:15	EST	22100	P
USGS	03335500	2015-03-17 12:30	EST	22200	P
USGS	03335500	2015-03-17 12:45	EST	22100	P
USGS	03335500	2015-03-17 13:00	EST	22100	P
USGS	03335500	2015-03-17 13:15	EST	22100	P
USGS	03335500	2015-03-17 13:30	EST	22100	P
USGS	03335500	2015-03-17 13:45	EST	22000	P
USGS	03335500	2015-03-17 14:00	EST	22000	P
USGS	03335500	2015-03-17 14:15	EST	22100	P
USGS	03335500	2015-03-17 14:30	EST	22000	P
USGS	03335500	2015-03-17 14:45	EST	22000	P
USGS	03335500	2015-03-17 15:00	EST	21900	P
USGS	03335500	2015-03-17 15:15	EST	21900	P
USGS	03335500	2015-03-17 15:30	EST	21900	P
USGS	03335500	2015-03-17 15:45	EST	21800	P
USGS	03335500	2015-03-17 16:00	EST	21900	P
USGS	03335500	2015-03-17 16:15	EST	21800	P
USGS	03335500	2015-03-17 16:30	EST	21800	P
USGS	03335500	2015-03-17 16:45	EST	21800	P
USGS	03335500	2015-03-17 17:00	EST	21800	P
USGS	03335500	2015-03-17 17:15	EST	21800	P
USGS	03335500	2015-03-17 17:30	EST	21800	P
USGS	03335500	2015-03-17 17:45	EST	21800	P
USGS	03335500	2015-03-17 18:00	EST	21900	P
USGS	03335500	2015-03-17 18:15	EST	21900	P
USGS	03335500	2015-03-17 18:30	EST	21900	P
USGS	03335500	2015-03-17 18:45	EST	21900	P
USGS	03335500	2015-03-17 19:00	EST	21800	P
USGS	03335500	2015-03-17 19:15	EST	21800	P
USGS	03335500	2015-03-17 19:30	EST	21800	P
USGS	03335500	2015-03-17 19:45	EST	21800	P
USGS	03335500	2015-03-17 20:00	EST	21800	P
USGS	03335500	2015-03-17 20:15	EST	21800	P
USGS	03335500	2015-03-17 20:30	EST	21800	P
USGS	03335500	2015-03-17 20:45	EST	21800	P
USGS	03335500	2015-03-17 21:00	EST	21700	P
USGS	03335500	2015-03-17 21:15	EST	21700	P
USGS	03335500	2015-03-17 21:30	EST	21700	P
USGS	03335500	2015-03-17 21:45	EST	21700	P
USGS	03335500	2015-03-17 22:00	EST	21600	P
USGS	03335500	2015-03-17 22:15	EST	21600	P
USGS	03335500	2015-03-17 22:30	EST	21600	P
USGS	03335500	2015-03-17 22:45	EST	21500	P
USGS	03335500	2015-03-17 23:00	EST	21500	P
USGS	03335500	2015-03-17 23:15	EST	21500	P
USGS	03335500	2015-03-17 23:30	EST	21400	P
USGS	03335500	2015-03-17 23:45	EST	21400	P
USGS	03335500	2015-03-18 00:00	EST	21400	P
USGS	03335500	2015-03-18 00:15	EST	21300	P
USGS	03335500	2015-03-18 00:30	EST	21200	P
USGS	03335500	2015-03-18 00:45	EST	21100	P
USGS	03335500	2015-03-18 01:00	EST	21100	P
USGS	03335500	2015-03-18 01:15	EST	21000	P
USGS	03335500	2015-03-18 01:30	EST	20900	P
USGS	03335500	2015-03-18 01:45	EST	20900	P
USGS	03335500	2015-03-18 02:00	EST	20800	P
USGS	03335500	2015-03-18 02:15	EST	20700	P
USGS	03335500	2015-03-18 02:30	EST	20700	P
USGS	03335500	2015-03-18 02:45	EST	20600	P
USGS	03335500	2015-03-18 03:00	EST	20500	P
USGS	03335500	2015-03-18 03:15	EST	20400	P
USGS	03335500	2015-03-18 03:30	EST	20300	P
USGS	03335500	2015-03-18 03:45	EST	20300	P
USGS	03335500	2015-03-18 04:00	EST	20200	P
USGS	03335500	2015-03-18 04:15	EST	20100	P
USGS	03335500	2015-03-18 04:30	EST	20100	P
USGS	03335500	2015-03-18 04:45	EST	20000	P
USGS	03335500	2015-03-18 05:00	EST	19900	P
USGS	03335500	2015-03-18 05:15	EST	19800	P
USGS	03335500	2015-03-18 05:30	EST	19800	P
USGS	03335500	2015-03-18 05:45	EST	19700	P
USGS	03335500	2015-03-18 06:00	EST	19600	P
USGS	03335500	2015-03-18 06:15	EST	19500	P
USGS	03335500	2015-03-18 06:30	EST	19500	P
USGS	03335500	2015-03-18 06:45	EST	19400	P
USGS	03335500	2015-03-18 07:00	EST	19300	P
USGS	03335500	2015-03-18 07:15	EST	19300	P
USGS	03335500	2015-03-18 07:30	EST	19200	P
USGS	03335500	2015-03-18 07:45	EST	19100	P
USGS	03335500	2015-03-18 08:00	EST	19100	P
USGS	03335500	2015-03-18 08:15	EST	19000	P
USGS	03335500	2015-03-18 08:30	EST	18900	P
USGS	03335500	2015-03-18 08:45	EST	18800	P
USGS	03335500	2015-03-18 09:00	EST	18800	P
USGS	03335500	2015-03-18 09:15	EST	18700	P
USGS	03335500	2015-03-18 09:30	EST	18600	P
USGS	03335500	2015-03-18 09:45	EST	18600	P
USGS	03335500	2015-03-18 10:00	EST	18500	P
USGS	03335500	2015-03-18 10:15	EST	18400	P
USGS	03335500	2015-03-18 10:30	EST	18400	P
USGS	03335500	2015-03-18 10:45	EST	18300	P
USGS	03335500	2015-03-18 11:00	EST	18300	P
USGS	03335500	2015-03-18 11:15	EST	18200	P
USGS	03335500	2015-03-18 11:30	EST	18100	P
USGS	03335500	2015-03-18 11:45	EST	18100	P
USGS	03335500	2015-03-18 12:00	EST	18000	P
USGS	03335500	2015-03-18 12:15	EST	17900	P
USGS	03335500	2015-03-18 12:30	EST	17800	P
USGS	03335500	2015-03-18 12:45	EST	17800	P
USGS	03335500	2015-03-18 13:00	EST	17700	P
USGS	03335500	2015-03-18 13:15	EST	17600	P
USGS	03335500	2015-03-18 13:30	EST	17600	P
USGS	03335500	2015-03-18 13:45	EST	17500	P
USGS	03335500	2015-03-18 14:00	EST	17400	P
USGS	03335500	2015-03-18 14:15	EST	17400	P
USGS	03335500	2015-03-18 14:30	EST	17300	P
USGS	03335500	2015-03-18 14:45	EST	17200	P
USGS	03335500	2015-03-18 15:00	EST	17200	P
USGS	03335500	2015-03-18 15:15	EST	17100	P
USGS	03335500	2015-03-18 15:30	EST	17000	P
USGS	03335500	2015-03-18 15:45	EST	17000	P
USGS	03335500	2015-03-18 16:00	EST	16900	P
USGS	03335500	2015-03-18 16:15	EST	16800	P
USGS	03335500	2015-03-18 16:30	EST	16700	P
USGS	03335500	2015-03-18 16:45	EST	16700	P
USGS	03335500	2015-03-18 17:00	EST	16600	P
USGS	03335500	2015-03-18 17:15	EST	16600	P
USGS	03335500	2015-03-18 17:30	EST	16500	P
USGS	03335500	2015-03-18 17:45	EST	16500	P
USGS	03335500	2015-03-18 18:00	EST	16400	P
USGS	03335500	2015-03-18 18:15	EST	16400	P
USGS	03335500	2015-03-18 18:30	EST	16300	P
USGS	03335500	2015-03-18 18:45	EST	16300	P
USGS	03335500	2015-03-18 19:00	EST	16200	P
USGS	03335500	2015-03-18 19:15	EST	16200	P
USGS	03335500	2015-03-18 19:30	EST	16200	P
USGS	03335500	2015-03-18 19:45	EST	16100	P
USGS	03335500	2015-03-18 20:00	EST	16100	P
USGS	03335500	2015-03-18 20:15	EST	16000	P
USGS	03335500	2015-03-18 20:30	EST	16000	P
USGS	03335500	2015-03-18 20:45	EST	16000	P
USGS	03335500	2015-03-18 21:00	EST	15900	P
USGS	03335500	2015-03-18 21:15	EST	15900	P
USGS	03335500	2015-03-18 21:30	EST	15900	P
USGS	03335500	2015-03-18 21:45	EST	15800	P
USGS	03335500	2015-03-18 22:00	EST	15800	P
USGS	03335500	2015-03-18 22:15	EST	15700	P
USGS	03335500	2015-03-18 22:30	EST	15700	P
USGS	03335500	2015-03-18 22:45	EST	15700	P
USGS	03335500	2015-03-18 23:00	EST	15600	P
USGS	03335500	2015-03-18 23:15	EST	15500	P
USGS	03335500	2015-03-18 23:30	EST	15500	P
USGS	03335500	2015-03-18 23:45	EST	15500	P
USGS	03335500	2015-03-19 00:00	EST	15400	P
USGS	03335500	2015-03-19 00:15	EST	15400	P
USGS	03335500	2015-03-19 00:30	EST	15300	P
USGS	03335500	2015-03-19 00:45	EST	15300	P
USGS	03335500	2015-03-19 01:00	EST	15200	P
USGS	03335500	2015-03-19 01:15	EST	15100	P
USGS	03335500	2015-03-19 01:30	EST	15100	P
USGS	03335500	2015-03-19 01:45	EST	15000	P
USGS	03335500	2015-03-19 02:00	EST	15000	P
USGS	03335500	2015-03-19 02:15	EST	14900	P
USGS	03335500	2015-03-19 02:30	EST	14900	P
USGS	03335500	2015-03-19 02:45	EST	14800	P
USGS	03335500	2015-03-19 03:00	EST	14800	P
USGS	03335500	2015-03-19 03:15	EST	14700	P
USGS	03335500	2015-03-19 03:30	EST	14700	P
USGS	03335500	2015-03-19 03:45	EST	14600	P
USGS	03335500	2015-03-19 04:00	EST	14600	P
USGS	03335500	2015-03-19 04:15	EST	14500	P
USGS	03335500	2015-03-19 04:30	EST	14400	P
USGS	03335500	2015-03-19 04:45	EST	14400	P
USGS	03335500	2015-03-19 05:00	EST	14400	P
USGS	03335500	2015-03-19 05:15	EST	14300	P
USGS	03335500	2015-03-19 05:30	EST	14300	P
USGS	03335500	2015-03-19 05:45	EST	14200	P
USGS	03335500	2015-03-19 06:00	EST	14200	P
USGS	03335500	2015-03-19 06:15	EST	14100	P
USGS	03335500	2015-03-19 06:30	EST	14100	P
USGS	03335500	2015-03-19 06:45	EST	14000	P
USGS	03335500	2015-03-19 07:00	EST	14000	P
USGS	03335500	2015-03-19 07:15	EST	14000	P
USGS	03335500	2015-03-19 07:30	EST	13900	P
USGS	03335500	2015-03-19 07:45	EST	13900	P
USGS	03335500	2015-03-19 08:00	EST	13800	P
USGS	03335500	2015-03-19 08:15	EST	13800	P
USGS	03335500	2015-03-19 08:30	EST	13700	P
USGS	03335500	2015-03-19 08:45	EST	13700	P
USGS	03335500	2015-03-19 09:00	EST	13600	P
USGS	03335500	2015-03-19 09:15	EST	13600	P
USGS	03335500	2015-03-19 09:30	EST	13600	P
USGS	03335500	2015-03-19 09:45	EST	13500	P
USGS	03335500	2015-03-19 10:00	EST	13500	P
USGS	03335500	2015-03-19 10:15	EST	13400	P
USGS	03335500	2015-03-19 10:30	EST	13300	P
USGS	03335500	2015-03-19 10:45	EST	13300	P
USGS	03335500	2015-03-19 11:00	EST	13300	P
USGS	03335500	2015-03-19 11:15	EST	13200	P
USGS	03335500	2015-03-19 11:30	EST	13200	P
USGS	03335500	2015-03-19 11:45	EST	13200	P
USGS	03335500	2015-03-19 12:00	EST	13200	P
USGS	03335500	2015-03-19 12:15	EST	13100	P
USGS	03335500	2015-03-19 12:30	EST	13100	P
USGS	03335500	2015-03-19 12:45	EST	13100	P
USGS	03335500	2015-03-19 13:00	EST	13000	P
USGS	03335500	2015-03-19 13:15	EST	13000	P
USGS	03335500	2015-03-19 13:30	EST	12900	P
USGS	03335500	2015-03-19 13:45	EST	12900	P
USGS	03335500	2015-03-19 14:00	EST	12900	P
USGS	03335500	2015-03-19 14:15	EST	12800	P
USGS	03335500	2015-03-19 14:30	EST	12700	P
USGS	03335500	2015-03-19 14:45	EST	12700	P
USGS	03335500	2015-03-19 15:00	EST	12700	P
USGS	03335500	2015-03-19 15:15	EST	12700	P
USGS	03335500	2015-03-19 15:30	EST	12600	P
USGS	03335500	2015-03-19 15:45	EST	12600	P
USGS	03335500	2015-03-19 16:00	EST	12600	P
USGS	03335500	2015-03-19 16:15	EST	12500	P
USGS	03335500	2015-03-19 16:30	EST	12500	P
USGS	03335500	2015-03-19 16:45	EST	12400	P
USGS	03335500	2015-03-19 17:00	EST	12400	P
USGS	03335500	2015-03-19 17:15	EST	12400	P
USGS	03335500	2015-03-19 17:30	EST	12300	P
USGS	03335500	2015-03-19 17:45	EST	12300	P
USGS	03335500	2015-03-19 18:00	EST	12300	P
USGS	03335500	2015-03-19 18:15	EST	12200	P
USGS	03335500	2015-03-19 18:30	EST	12200	P
USGS	03335500	2015-03-19 18:45	EST	12200	P
USGS	03335500	2015-03-19 19:00	EST	12100	P
USGS	03335500	2015-03-19 19:15	EST	12100	P
USGS	03335500	2015-03-19 19:30	EST	12100	P
USGS	03335500	2015-03-19 19:45	EST	12100	P
USGS	03335500	2015-03-19 20:00	EST	12000	P
USGS	03335500	2015-03-19 20:15	EST	12000	P
USGS	03335500	2015-03-19 20:30	EST	12000	P
USGS	03335500	2015-03-19 20:45	EST	11900	P
USGS	03335500	2015-03-19 21:00	EST	11900	P
USGS	03335500	2015-03-19 21:15	EST	11900	P
USGS	03335500	2015-03-19 21:30	EST	11800	P
USGS	03335500	2015-03-19 21:45	EST	11800	P
USGS	03335500	2015-03-19 22:00	EST	11800	P
USGS	03335500	2015-03-19 22:15	EST	11800	P
USGS	03335500	2015-03-19 22:30	EST	11700	P
USGS	03335500	2015-03-19 22:45	EST	11700	P
USGS	03335500	2015-03-19 23:00	EST	11700	P
USGS	03335500	2015-03-19 23:15	EST	11600	P
USGS	03335500	2015-03-19 23:30	EST	11600	P
USGS	03335500	2015-03-19 23:45	EST	11600	P
USGS	03335500	2015-03-20 00:00	EST	11500	P
USGS	03335500	2015-03-20 00:15	EST	11500	P
USGS	03335500	2015-03-20 00:30	EST	11500	P
USGS	03335500	2015-03-20 00:45	EST	11400	P
USGS	03335500	2015-03-20 01:00	EST	11400	P
USGS	03335500	2015-03-20 01:15	EST	11400	P
USGS	03335500	2015-03-20 01:30	EST	11300	P
USGS	03335500	2015-03-20 01:45	EST	11300	P
USGS	03335500	2015-03-20 02:00	EST	11300	P
USGS	03335500	2015-03-20 02:15	EST	11200	P
USGS	03335500	2015-03-20 02:30	EST	11200	P
USGS	03335500	2015-03-20 02:45	EST	11200	P
USGS	03335500	2015-03-20 03:00	EST	11100	P
USGS	03335500	2015-03-20 03:15	EST	11100	P
USGS	03335500	2015-03-20 03:30	EST	11100	P
USGS	03335500	2015-03-20 03:45	EST	11000	P
USGS	03335500	2015-03-20 04:00	EST	11000	P
USGS	03335500	2015-03-20 04:15	EST	11000	P
USGS	03335500	2015-03-20 04:30	EST	10900	P
USGS	03335500	2015-03-20 04:45	EST	10900	P
USGS	03335500	2015-03-20 05:00	EST	10900	P
USGS	03335500	2015-03-20 05:15	EST	10900	P
USGS	03335500	2015-03-20 05:30	EST	10800	P
USGS	03335500	2015-03-20 05:45	EST	10800	P
USGS	03335500	2015-03-20 06:00	EST	10800	P
USGS	03335500	2015-03-20 06:15	EST	10800	P
USGS	03335500	2015-03-20 06:30	EST	10700	P
USGS	03335500	2015-03-20 06:45	EST	10700	P
USGS	03335500	2015-03-20 07:00	EST	10700	P
USGS	03335500	2015-03-20 07:15	EST	10700	P
USGS	03335500	2015-03-20 07:30	EST	10700	P
USGS	03335500	2015-03-20 07:45	EST	10700	P
USGS	03335500	2015-03-20 08:00	EST	10600	P
USGS	03335500	2015-03-20 08:15	EST	10600	P
USGS	03335500	2015-03-20 08:30	EST	10600	P
USGS	03335500	2015-03-20 08:45	EST	10600	P
USGS	03335500	2015-03-20 09:00	EST	10600	P
USGS	03335500	2015-03-20 09:15	EST	10500	P
USGS	03335500	2015-03-20 09:30	EST	10500	P
USGS	03335500	2015-03-20 09:45	EST	10500	P
USGS	03335500	2015-03-20 10:00	EST	10500	P
USGS	03335500	2015-03-20 10:15	EST	10500	P
USGS	03335500	2015-03-20 10:30	EST	10400	P
USGS	03335500	2015-03-20 10:45	EST	10400	P
USGS	03335500	2015-03-20 11:00	EST	10300	P
USGS	03335500	2015-03-20 11:15	EST	10300	P
USGS	03335500	2015-03-20 11:30	EST	10300	P
USGS	03335500	2015-03-20 11:45	EST	10300	P
USGS	03335500	2015-03-20 12:00	EST	10300	P
USGS	03335500	2015-03-20 12:15	EST	10300	P
USGS	03335500	2015-03-20 12:30	EST	10200	P
USGS	03335500	2015-03-20 12:45	EST	10200	P
USGS	03335500	2015-03-20 13:00	EST	10200	P
USGS	03335500	2015-03-20 13:15	EST	10100	P
USGS	03335500	2015-03-20 13:30	EST	10100	P
USGS	03335500	2015-03-20 13:45	EST	10100	P
USGS	03335500	2015-03-20 14:00	EST	10000	P
USGS	03335500	2015-03-20 14:15	EST	10000	P
USGS	03335500	2015-03-20 14:30	EST	9970	P
USGS	03335500	2015-03-20 14:45	EST	9930	P
USGS	03335500	2015-03-20 15:00	EST	9890	P
USGS	03335500	2015-03-20 15:15	EST	9850	P
USGS	03335500	2015-03-20 15:30	EST	9830	P
USGS	03335500	2015-03-20 15:45	EST	9800	P
USGS	03335500	2015-03-20 16:00	EST	9760	P
USGS	03335500	2015-03-20 16:15	EST	9720	P
USGS	03335500	2015-03-20 16:30	EST	9680	P
USGS	03335500	2015-03-20 16:45	EST	9650	P
USGS	03335500	2015-03-20 17:00	EST	9610	P
USGS	03335500	2015-03-20 17:15	EST	9590	P
USGS	03335500	2015-03-20 17:30	EST	9570	P
USGS	03335500	2015-03-20 17:45	EST	9540	P
USGS	03335500	2015-03-20 18:00	EST	9520	P
USGS	03335500	2015-03-20 18:15	EST	9500	P
USGS	03335500	2015-03-20 18:30	EST	9480	P
USGS	03335500	2015-03-20 18:45	EST	9460	P
USGS	03335500	2015-03-20 19:00	EST	9440	P
USGS	03335500	2015-03-20 19:15	EST	9440	P
USGS	03335500	2015-03-20 19:30	EST	9410	P
USGS	03335500	2015-03-20 19:45	EST	9410	P
USGS	03335500	2015-03-20 20:00	EST	9410	P
USGS	03335500	2015-03-20 20:15	EST	9410	P
USGS	03335500	2015-03-20 20:30	EST	9390	P
USGS	03335500	2015-03-20 20:45	EST	9370	P
USGS	03335500	2015-03-20 21:00	EST	9370	P
USGS	03335500	2015-03-20 21:15	EST	9370	P
USGS	03335500	2015-03-20 21:30	EST	9370	P
USGS	03335500	2015-03-20 21:45	EST	9350	P
USGS	03335500	2015-03-20 22:00	EST	9350	P
USGS	03335500	2015-03-20 22:15	EST	9350	P
USGS	03335500	2015-03-20 22:30	EST	9330	P
USGS	03335500	2015-03-20 22:45	EST	9330	P
USGS	03335500	2015-03-20 23:00	EST	9350	P
USGS	03335500	2015-03-20 23:15	EST	9330	P
USGS	03335500	2015-03-20 23:30	EST	9290	P
USGS	03335500	2015-03-20 23:45	EST	9310	P
USGS	03335500	2015-03-21 00:00	EST	9310	P
USGS	03335500	2015-03-21 00:15	EST	9290	P
USGS	03335500	2015-03-21 00:30	EST	9290	P
USGS	03335500	2015-03-21 00:45	EST	9290	P
USGS	03335500	2015-03-21 01:00	EST	9290	P
USGS	03335500	2015-03-21 01:15	EST	9280	P
USGS	03335500	2015-03-21 01:30	EST	9240	P
USGS	03335500	2015-03-21 01:45	EST	9240	P
USGS	03335500	2015-03-21 02:00	EST	9220	P
USGS	03335500	2015-03-21 02:15	EST	9220	P
USGS	03335500	2015-03-21 02:30	EST	9200	P
USGS	03335500	2015-03-21 02:45	EST	9130	P
USGS	03335500	2015-03-21 03:00	EST	9070	P
USGS	03335500	2015-03-21 03:15	EST	9060	P
USGS	03335500	2015-03-21 03:30	EST	9090	P
USGS	03335500	2015-03-21 03:45	EST	9040	P
USGS	03335500	2015-03-21 04:00	EST	9040	P
USGS	03335500	2015-03-21 04:15	EST	9000	P
USGS	03335500	2015-03-21 04:30	EST	8970	P
USGS	03335500	2015-03-21 04:45	EST	8980	P
USGS	03335500	2015-03-21 05:00	EST	9020	P
USGS	03335500	2015-03-21 05:15	EST	8950	P
USGS	03335500	2015-03-21 05:30	EST	9000	P
USGS	03335500	2015-03-21 05:45	EST	9000	P
USGS	03335500	2015-03-21 06:00	EST	8950	P
USGS	03335500	2015-03-21 06:15	EST	8930	P
USGS	03335500	2015-03-21 06:30	EST	8930	P
USGS	03335500	2015-03-21 06:45	EST	8930	P
USGS	03335500	2015-03-21 07:00	EST	8910	P
USGS	03335500	2015-03-21 07:15	EST	8910	P
USGS	03335500	2015-03-21 07:30	EST	8890	P
USGS	03335500	2015-03-21 07:45	EST	8870	P
USGS	03335500	2015-03-21 08:00	EST	8840	P
USGS	03335500	2015-03-21 08:15	EST	8840	P
USGS	03335500	2015-03-21 08:30	EST	8840	P
USGS	03335500	2015-03-21 08:45	EST	8820	P
USGS	03335500	2015-03-21 09:00	EST	8820	P
USGS	03335500	2015-03-21 09:15	EST	8800	P
USGS	03335500	2015-03-21 09:30	EST	8800	P
USGS	03335500	2015-03-21 09:45	EST	8770	P
USGS	03335500	2015-03-21 10:00	EST	8770	P
USGS	03335500	2015-03-21 10:15	EST	8750	P
USGS	03335500	2015-03-21 10:30	EST	8750	P
USGS	03335500	2015-03-21 10:45	EST	8750	P
USGS	03335500	2015-03-21 11:00	EST	8730	P
USGS	03335500	2015-03-21 11:15	EST	8710	P
USGS	03335500	2015-03-21 11:30	EST	8570	P
USGS	03335500	2015-03-21 11:45	EST	8550	P
USGS	03335500	2015-03-21 12:00	EST	8690	P
USGS	03335500	2015-03-21 12:15	EST	8550	P
USGS	03335500	2015-03-21 12:30	EST	8640	P
USGS	03335500	2015-03-21 12:45	EST	8510	P
USGS	03335500	2015-03-21 13:00	EST	8620	P
USGS	03335500	2015-03-21 13:15	EST	8530	P
USGS	03335500	2015-03-21 13:30	EST	8570	P
USGS	03335500	2015-03-21 13:45	EST	8510	P
USGS	03335500	2015-03-21 14:00	EST	8460	P
USGS	03335500	2015-03-21 14:15	EST	8480	P
USGS	03335500	2015-03-21 14:30	EST	8500	P
USGS	03335500	2015-03-21 14:45	EST	8410	P
USGS	03335500	2015-03-21 15:00	EST	8460	P
USGS	03335500	2015-03-21 15:15	EST	8370	P
USGS	03335500	2015-03-21 15:30	EST	8370	P
USGS	03335500	2015-03-21 15:45	EST	8340	P
USGS	03335500	2015-03-21 16:00	EST	8370	P
USGS	03335500	2015-03-21 16:15	EST	8350	P
USGS	03335500	2015-03-21 16:30	EST	8410	P
USGS	03335500	2015-03-21 16:45	EST	8390	P
USGS	03335500	2015-03-21 17:00	EST	8320	P
USGS	03335500	2015-03-21 17:15	EST	8390	P
USGS	03335500	2015-03-21 17:30	EST	8410	P
USGS	03335500	2015-03-21 17:45	EST	8390	P
USGS	03335500	2015-03-21 18:00	EST	8370	P
USGS	03335500	2015-03-21 18:15	EST	8370	P
USGS	03335500	2015-03-21 18:30	EST	8340	P
USGS	03335500	2015-03-21 18:45	EST	8350	P
USGS	03335500	2015-03-21 19:00	EST	8350	P
USGS	03335500	2015-03-21 19:15	EST	8300	P
USGS	03335500	2015-03-21 19:30	EST	8280	P
USGS	03335500	2015-03-21 19:45	EST	8270	P
USGS	03335500	2015-03-21 20:00	EST	8250	P
USGS	03335500	2015-03-21 20:15	EST	8250	P
USGS	03335500	2015-03-21 20:30	EST	8250	P
USGS	03335500	2015-03-21 20:45	EST	8210	P
USGS	03335500	2015-03-21 21:00	EST	8190	P
USGS	03335500	2015-03-21 21:15	EST	8210	P
USGS	03335500	2015-03-21 21:30	EST	8190	P
USGS	03335500	2015-03-21 21:45	EST	8180	P
USGS	03335500	2015-03-21 22:00	EST	8160	P
USGS	03335500	2015-03-21 22:15	EST	8160	P
USGS	03335500	2015-03-21 22:30	EST	8160	P
USGS	03335500	2015-03-21 22:45	EST	8140	P
USGS	03335500	2015-03-21 23:00	EST	8120	P
USGS	03335500	2015-03-21 23:15	EST	8140	P
USGS	03335500	2015-03-21 23:30	EST	8110	P
USGS	03335500	2015-03-21 23:45	EST	8110	P
USGS	03335500	2015-03-22 00:00	EST	8070	P
USGS	03335500	2015-03-22 00:15	EST	8090	P
